"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Central Europe and the Baltics","CEB","Land under cereal production (hectares)","AG.LND.CREL.HA","","21920693","21236875","21145481","21185616","20812888","20702896","20410239","20563246","20639176","19430278","19976693","20160224","19392896","19325646","19483010","19467094","19554794","19312801","19307307","19294125","19008710","19132879","19199745","19400857","19208071","19419666","19183704","19318443","19385047","19068729","19903026","22062075","25480837","25549529","24824268","24119789","25466684","24846784","23032851","23983944","25219096","23891607","22377146","24142736","23547240.3","22532704","22247313","23298913","23417360","21875215","22115616","22613464","",
"Europe and Central Asia (IFC classification)","CEU","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Land under cereal production (hectares)","AG.LND.CREL.HA","","180255","184650","175300","174285","173683","171400","168900","169410","175385","171620","173480","181000","178550","179739","177804","175600","172310","173410","172300","170665","174510","175930","177400","181440","184315","188560","186190","196510","208040","211903","208670","201240","201800","208990","204004","195870","185909","186491","182257","182666","177556","171200","166558","161753","167689","164590","157572","156105","152957","149939","145385","147373","",
"Channel Islands","CHI","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Land under cereal production (hectares)","AG.LND.CREL.HA","","1024480","1013290","991550","987443","957810","1009247","968900","1008340","951251","967700","968330","982070","784560","879200","969970","969130","928550","855960","883810","852020","723930","656950","635460","782360","800220","797180","874770","792720","804080","823447","706970","694330","622470","583380","618407","604456","682719","613235","533827","593690","631247","652128","685127","706925","686445","594456","496871","565044","572191","526524","570215","556184","",
"China","CHN","Land under cereal production (hectares)","AG.LND.CREL.HA","","89712000","88910008","90371008","92086008","91089016","92863000","91965000","89643008","91280008","92886508","96197008","96529000","96185008","96848008","97239491","97788749","96433874","96648324","95472504","94370308","91944016","90301916","92104816","91739562","88145866","89761952","89694400","88790680","90871369","93020205","93608376","92081747","88812850","87436560","89309000","92208130","91959386","92118640","91617160","85264010","82595600","81466293","76810000","79351255","81873900","83143180","85777000","86249000","88401090","89907000","91006790","92648000","",
"Cote d'Ivoire","CIV","Land under cereal production (hectares)","AG.LND.CREL.HA","","471000","574000","586000","618000","613000","624000","698200","712700","731050","714300","711200","711200","729700","784000","1020700","1041150","1073820","1123650","1166800","927200","943100","984700","1043500","1129200","1097000","1225000","1274000","1300000","1353000","1115596","1163560","1185538","1026144","1140765","1157449","982529","943990","829586","768277","764363","760406","759651","730329","743359","775972","751877","780280","811788","834856","864313","854053","868000","",
"Latin America and the Caribbean (IFC classification)","CLA","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Land under cereal production (hectares)","AG.LND.CREL.HA","","814452","909688","903695","887702","875932","884051","830487","838210","939792","923573","992652","948409","998927","975229","1042516","964175","981715","1060681","1066582","1031730","964842","1079632","992687","610628","706454","792237","582102","771621","766751","648236","844045","950296","1028246","990309","1004017","947515","901906","1002862","625835","722792","793399","890591","979574","1077506","1122152","1232688","1412881","1473990","1647019","1804256","1777559","1721650","",
"Congo, Rep.","COG","Land under cereal production (hectares)","AG.LND.CREL.HA","","7000","7100","9600","9650","9800","11000","11000","11500","10500","9000","10500","13084","18000","26099","31883","32180","31900","29500","29000","13855","13700","13100","16600","21200","20900","25885","25890","25946","25979","9633","9800","10235","13400","13892","14831","15032","15956","17345","13059","12976","23497","23854","28453","28914","29635","27900","27933","29750","30200","31975","33242","34200","",
